filename,width,height,class,xmin,ymin,xmax,ymax
34.jpg,259,194,banana,74,22,144,175
34.jpg,259,194,banana,158,40,212,176
35.jpg,640,426,banana,318,109,440,183
35.jpg,640,426,banana,237,167,487,335
35.jpg,640,426,banana,256,315,560,395
35.jpg,640,426,banana,465,187,567,262
35.jpg,640,426,banana,434,101,501,167
35.jpg,640,426,banana,470,280,614,365
36.jpg,275,183,banana,84,119,234,167
36.jpg,275,183,banana,91,86,251,146
36.jpg,275,183,banana,91,56,245,120
36.jpg,275,183,banana,83,16,211,64
36.jpg,275,183,banana,31,24,88,135
37.jpg,1280,720,banana,596,84,724,447
37.jpg,1280,720,banana,722,174,865,618
37.jpg,1280,720,banana,834,265,1165,540
37.jpg,1280,720,banana,786,503,1192,686
37.jpg,1280,720,banana,335,336,562,720
37.jpg,1280,720,banana,344,182,493,475
37.jpg,1280,720,banana,43,233,207,598
37.jpg,1280,720,banana,234,75,344,378
37.jpg,1280,720,banana,196,1,320,108
37.jpg,1280,720,banana,309,1,442,185
37.jpg,1280,720,banana,418,1,569,326
37.jpg,1280,720,banana,717,2,1003,227
37.jpg,1280,720,banana,1040,1,1230,382
37.jpg,1280,720,banana,1112,316,1280,708
37.jpg,1280,720,banana,2,1,107,171
37.jpg,1280,720,banana,137,37,237,284
37.jpg,1280,720,banana,195,502,295,720
37.jpg,1280,720,banana,217,373,336,546
37.jpg,1280,720,banana,504,138,630,449
38.jpg,229,220,banana,24,32,85,197
38.jpg,229,220,banana,46,33,130,186
38.jpg,229,220,banana,96,80,210,155
39.jpg,276,183,banana,218,49,267,119
39.jpg,276,183,banana,156,20,226,78
39.jpg,276,183,banana,148,66,218,144
39.jpg,276,183,banana,15,42,147,183
40.jpg,275,183,banana,1,13,237,183
41.jpg,225,225,banana,1,13,194,178
42.jpg,254,199,banana,18,18,226,116
42.jpg,254,199,banana,1,132,144,173
43.jpg,225,225,banana,110,10,215,125
43.jpg,225,225,banana,33,38,109,79
43.jpg,225,225,banana,101,75,192,144
43.jpg,225,225,banana,19,84,160,144
43.jpg,225,225,banana,17,116,225,220
44.jpg,225,225,banana,85,135,163,198
44.jpg,225,225,banana,15,65,142,187
44.jpg,225,225,banana,15,8,103,122
44.jpg,225,225,banana,128,29,196,94
44.jpg,225,225,banana,132,78,178,113
44.jpg,225,225,banana,67,44,126,130
45.jpg,205,246,banana,19,14,179,145
45.jpg,205,246,banana,1,164,121,241
45.jpg,205,246,banana,112,119,201,246
45.jpg,205,246,banana,14,28,205,230
46.jpg,480,480,banana,320,126,463,255
46.jpg,480,480,banana,268,180,403,307
46.jpg,480,480,banana,26,118,192,227
46.jpg,480,480,banana,48,163,180,296
46.jpg,480,480,banana,111,190,193,367
46.jpg,480,480,banana,186,198,248,406
46.jpg,480,480,banana,237,198,328,382
46.jpg,480,480,banana,178,135,289,202
47.jpg,194,259,banana,26,110,73,189
47.jpg,194,259,banana,61,91,103,176
47.jpg,194,259,banana,89,99,176,139
48.jpg,300,168,banana,100,56,245,162
48.jpg,300,168,banana,53,1,114,133
48.jpg,300,168,banana,1,1,51,146
48.jpg,300,168,banana,103,1,153,99
48.jpg,300,168,banana,154,1,193,71
48.jpg,300,168,banana,187,19,258,52
48.jpg,300,168,banana,133,95,240,168
49.jpg,960,720,banana,45,86,920,614
50.jpg,602,480,banana,192,110,306,444
50.jpg,602,480,banana,281,324,431,445
50.jpg,602,480,banana,106,264,207,387
50.jpg,602,480,banana,113,76,284,220
50.jpg,602,480,banana,12,217,117,446
51.jpg,500,500,banana,22,120,200,209
51.jpg,500,500,banana,33,190,187,290
51.jpg,500,500,banana,68,226,213,354
51.jpg,500,500,banana,177,236,271,416
51.jpg,500,500,banana,308,186,412,409
51.jpg,500,500,banana,329,155,463,238
51.jpg,500,500,banana,296,121,474,215
52.jpg,620,349,banana,52,71,206,314
52.jpg,620,349,banana,182,42,311,335
52.jpg,620,349,banana,281,49,418,342
52.jpg,620,349,banana,390,58,557,348
53.jpeg,800,600,banana,125,15,355,303
53.jpeg,800,600,banana,21,137,166,341
53.jpeg,800,600,banana,535,55,675,331
53.jpeg,800,600,banana,406,272,601,445
53.jpeg,800,600,banana,382,98,527,339
53.jpeg,800,600,banana,228,35,468,133
